Failure_Number,Time,JM_Failure_Intensity,JM_MTBF,NHPP_Failure_Intensity,NHPP_MTBF,Weibull_Failure_Intensity,Weibull_MTBF,Reliability_JM,Availability_JM,Reliability_NHPP,Availability_NHPP,Reliability_Weibull,Availability_Weibull
11,1016.8295990973112,3.1500000000000004,0.31746031746031744,3.8367646561215876e-05,26063.626248341614,0.5347740875791561,1.869948494563103,2.0879679116459264e-14,0.13698630136986303,0.00011758204880591227,0.999923270594731,0.588410711545831,0.4831972562917043
12,1150.9779646952738,3.1,0.3225806451612903,1.0031507712956649e-05,99685.91248834955,0.5689574259736364,1.7576007524442376,3.442477108469976e-14,0.13888888888888887,0.00011758204880591227,0.9999799373870906,0.588410711545831,0.4677454759665344
13,1301.1474131402235,3.0500000000000003,0.32786885245901637,2.2345423155085254e-06,447518.93623120995,0.6049361205496726,1.6530671025088637,5.6756852326327025e-14,0.14084507042253522,0.00011758204880591227,0.9999955309353417,0.588410711545831,0.4525148474205595
14,1453.5475456559977,3.0,0.3333333333333333,4.867693419475698e-07,2054361.0984187876,0.6393827079423946,1.5640085156793062,9.357622968840175e-14,0.14285714285714285,0.00011758204880591227,0.9999990264622639,0.588410711545831,0.4388341129934712
15,1609.2308872123476,2.95,0.3389830508474576,1.0261221341893095e-07,9745428.606216088,0.6727526938098969,1.4864303171152742,1.5428112031918877e-13,0.14492753623188406,0.00011758204880591227,0.9999997947756153,0.588410711545831,0.4263473472618175
16,1771.8144382520932,2.9000000000000004,0.3448275862068965,2.018866795015719e-08,49532737.99286069,0.7059198330960829,1.4165914500717673,2.543665647376914e-13,0.14705882352941177,0.00011758204880591227,0.9999999596226657,0.588410711545831,0.4146212594549492
17,1960.2029640685093,2.85,0.3508771929824561,3.0686453073921656e-09,325876697.9654069,0.7425005613763995,1.3468003285361356,4.1937956583795446e-13,0.14925373134328357,0.00011758204880591227,0.9999999938627094,0.588410711545831,0.4024143051059206
18,2150.123663184894,2.8000000000000003,0.3571428571428571,4.5933715554187747e-10,2177050099.1157694,0.7776389138094567,1.2859438773469456,6.914400106940179e-13,0.1515151515151515,0.00011758204880591227,0.9999999990813256,0.588410711545831,0.3913468778977473
19,2367.341646167204,2.75,0.36363636363636365,5.233182288829117e-11,19108831774.016838,0.8159747777869892,1.2255280766301464,1.1399918530443554e-12,0.15384615384615385,0.00011758204880591227,0.9999999998953364,0.588410711545831,0.37994649171074973
20,2586.0751508915923,2.7,0.37037037037037035,5.872436398008211e-12,170287072047.16187,0.8528385756919421,1.1725548403912898,1.8795288165390832e-12,0.15625,0.00011758204880591227,0.9999999999882552,0.588410711545831,0.3695932456274489
